Departamento,Año,Mes,Dia,Sexo,Edad,Calidad de la Victima
ARAUCA,2012,9,9,Mujer,28.0,Civil
CUNDINAMARCA,1989,8,21,Mujer,17.0,Civil
PUTUMAYO,2013,9,2,Mujer,14.0,Civil
SIN INFORMACION,2006,4,26,Mujer,26.0,Civil
SUCRE,1996,2,19,Mujer,18.0,Civil
VALLE DEL CAUCA,2016,2,5,Mujer,25.0,Civil
NARINO,2013,12,24,Mujer,18.0,Civil
VALLE DEL CAUCA,2013,12,12,Mujer,26.0,Civil
CUNDINAMARCA,2005,10,27,Mujer,39.0,Civil
ANTIOQUIA,2002,6,24,Mujer,28.0,Civil
ANTIOQUIA,2006,2,9,Mujer,14.0,Civil
ANTIOQUIA,1998,11,3,Hombre,34.0,Civil
ANTIOQUIA,1999,5,22,Mujer,16.0,Civil
RISARALDA,1994,12,1,Mujer,18.0,Civil
NORTE DE SANTANDER,2002,5,10,Mujer,13.0,Civil
TOLIMA,2011,9,5,Mujer,19.0,Civil
MAGDALENA,2014,10,28,Mujer,50.0,Civil
GUAVIARE,1996,1,1,Mujer,35.0,Civil
ANTIOQUIA,1996,2,3,Mujer,14.0,Civil
GUAVIARE,2003,4,27,Mujer,16.0,Civil
QUINDIO,2003,9,27,Mujer,18.0,Civil
PUTUMAYO,2006,5,1,Mujer,12.0,Civil
CUNDINAMARCA,2006,7,11,Hombre,50.0,Civil
VALLE DEL CAUCA,2003,3,1,Mujer,13.0,Civil
ANTIOQUIA,1998,11,1,Mujer,27.0,Civil
NARINO,2006,11,14,Mujer,11.0,Civil
CHOCO,2012,11,4,Mujer,26.0,Civil
CASANARE,1994,2,15,Mujer,18.0,Civil
MAGDALENA,2002,4,4,Mujer,16.0,Civil
NARINO,2001,3,17,Mujer,24.0,Civil
NARINO,2007,1,1,Mujer,14.0,Civil
MAGDALENA,2004,3,15,Mujer,27.0,Civil
NORTE DE SANTANDER,2002,1,1,Mujer,24.0,Civil
BOLIVAR,2005,1,7,Mujer,12.0,Civil
META,1999,9,11,Mujer,17.0,Civil
NARINO,2007,9,12,Mujer,41.0,Civil
VALLE DEL CAUCA,2014,3,8,Hombre,21.0,Civil
HUILA,2002,1,1,Mujer,11.0,Civil
CAUCA,1998,5,27,Mujer,24.0,Civil
BOLIVAR,2002,10,27,Mujer,18.0,Civil
CHOCO,2013,1,26,Mujer,35.0,Civil
VALLE DEL CAUCA,2008,5,29,Mujer,12.0,Civil
PUTUMAYO,1999,1,9,Mujer,33.0,Civil
CAUCA,2000,10,15,Mujer,27.0,Civil
LA GUAJIRA,1999,12,17,Mujer,25.0,Civil
PUTUMAYO,1997,7,16,Mujer,19.0,Civil
PUTUMAYO,2002,5,1,Mujer,27.0,Civil
NARINO,2003,2,20,Mujer,33.0,Civil
TOLIMA,1998,10,22,Mujer,10.0,Civil
NORTE DE SANTANDER,2003,1,23,Mujer,16.0,Civil
META,2007,9,21,Mujer,20.0,Civil
ANTIOQUIA,2008,12,24,Mujer,14.0,Civil
ANTIOQUIA,1989,6,3,Mujer,18.0,Civil
MAGDALENA,2014,3,26,Mujer,25.0,Civil
MAGDALENA,2001,9,30,Mujer,25.0,Civil
LA GUAJIRA,1998,11,13,Mujer,22.0,Civil
BOLIVAR,2000,11,25,Mujer,21.0,Civil
SANTANDER,1996,2,1,Mujer,32.0,Civil
CASANARE,2000,11,15,Mujer,20.0,Civil
CESAR,2002,6,29,Mujer,5.0,Civil
NARINO,2005,2,18,Mujer,16.0,Civil
CASANARE,1999,12,1,Hombre,11.0,Civil
CESAR,2002,7,8,Mujer,33.0,Civil
NARINO,2002,7,1,Mujer,15.0,Civil
ANTIOQUIA,2009,8,17,Mujer,29.0,Civil
CAUCA,2006,3,1,Mujer,17.0,Civil
NORTE DE SANTANDER,2002,10,2,Mujer,13.0,Civil
RISARALDA,2002,8,7,Mujer,17.0,Civil
META,2001,10,1,Mujer,26.0,Civil
BOLIVAR,2004,12,5,Mujer,32.0,Civil
PUTUMAYO,2002,2,15,Mujer,23.0,Civil
ANTIOQUIA,2015,1,4,Mujer,26.0,Civil
BOLIVAR,2003,8,20,Mujer,12.0,Civil
CAUCA,2012,9,15,Mujer,14.0,Civil
BOLIVAR,2004,11,11,Mujer,15.0,Civil
CASANARE,1998,12,18,Mujer,19.0,Civil
CESAR,2004,5,10,Mujer,19.0,Civil
ANTIOQUIA,1993,9,22,Mujer,24.0,Civil
ANTIOQUIA,1992,2,19,Mujer,11.0,Civil
VALLE DEL CAUCA,2013,4,1,Hombre,16.0,Civil
VALLE DEL CAUCA,2010,1,15,Mujer,30.0,Civil
NARINO,2008,7,1,Mujer,33.0,Civil
MAGDALENA,2006,4,14,Mujer,30.0,Civil
TOLIMA,2014,6,16,Mujer,43.0,Civil
CAUCA,2003,4,10,Mujer,12.0,Civil
MAGDALENA,2001,5,23,Mujer,13.0,Civil
ANTIOQUIA,2002,7,18,Mujer,25.0,Civil
CHOCO,2010,11,24,Mujer,15.0,Civil
ANTIOQUIA,1995,4,11,Mujer,16.0,Civil
ANTIOQUIA,2000,8,14,Mujer,40.0,Civil
CALDAS,2003,2,5,Mujer,14.0,Civil
ANTIOQUIA,2002,12,17,Mujer,28.0,Civil
MAGDALENA,1999,8,4,Mujer,27.0,Civil
CAUCA,2011,9,1,Mujer,25.0,Civil
SANTANDER,2001,6,10,Mujer,14.0,Civil
ANTIOQUIA,2001,11,25,Mujer,12.0,Civil
CASANARE,2007,4,1,Mujer,22.0,Civil
NORTE DE SANTANDER,2002,3,19,Mujer,22.0,Civil
NORTE DE SANTANDER,2012,5,13,Mujer,19.0,Civil
MAGDALENA,2004,3,10,Mujer,21.0,Civil
ANTIOQUIA,1991,4,8,Mujer,14.0,Civil
CAQUETA,2002,7,1,Hombre,28.0,Civil
BOLIVAR,1989,4,16,Mujer,26.0,Civil
MAGDALENA,2002,5,22,Mujer,21.0,Civil
SUCRE,1999,2,12,Mujer,10.0,Civil
HUILA,2013,2,23,Mujer,19.0,Civil
NARINO,2003,1,1,Mujer,12.0,Civil
CESAR,1999,5,29,Mujer,16.0,Civil
MAGDALENA,2000,11,17,Mujer,16.0,Civil
ANTIOQUIA,2004,8,3,Hombre,7.0,Civil
SUCRE,1999,3,30,Mujer,23.0,Civil
ANTIOQUIA,2009,3,10,Mujer,16.0,Civil
MAGDALENA,2002,1,15,Mujer,31.0,Civil
GUAVIARE,2004,12,6,Mujer,14.0,Civil
MAGDALENA,2005,5,1,Mujer,28.0,Civil
NARINO,2008,6,23,Mujer,23.0,Civil
BOLIVAR,2002,10,5,Mujer,17.0,Civil
ANTIOQUIA,2000,6,9,Mujer,27.0,Civil
BOLIVAR,2003,3,27,Mujer,30.0,Civil
CASANARE,2004,9,1,Mujer,16.0,Civil
BOLIVAR,2002,10,26,Mujer,32.0,Civil
BOLIVAR,2000,11,17,Mujer,28.0,Civil
NORTE DE SANTANDER,2000,2,4,Mujer,12.0,Civil
MAGDALENA,2000,6,13,Mujer,13.0,Civil
VALLE DEL CAUCA,2010,1,5,Mujer,29.0,Civil
MAGDALENA,2004,1,24,Mujer,15.0,Civil
PUTUMAYO,2000,10,15,Mujer,38.0,Civil
NARINO,2014,11,28,Mujer,43.0,Civil
LA GUAJIRA,2005,1,3,Hombre,22.0,Civil
CESAR,2003,8,23,Mujer,15.0,Civil
BOLIVAR,2001,12,24,Mujer,19.0,Civil
ANTIOQUIA,2000,8,10,Mujer,24.0,Civil
CAUCA,2004,6,1,Mujer,28.0,Civil
CAQUETA,1998,3,29,Mujer,33.0,Civil
META,2006,7,24,Mujer,34.0,Civil
BOLIVAR,1988,5,1,Hombre,9.0,Civil
TOLIMA,2010,5,8,Mujer,14.0,Civil
NARINO,2015,1,3,Mujer,22.0,Civil
PUTUMAYO,2014,5,11,Mujer,29.0,Civil
BOLIVAR,2005,7,25,Mujer,19.0,Civil
ANTIOQUIA,1994,11,8,Mujer,19.0,Civil
PUTUMAYO,2013,1,9,Mujer,23.0,Civil
NORTE DE SANTANDER,2014,6,11,Mujer,11.0,Civil
VALLE DEL CAUCA,2000,3,10,Mujer,33.0,Civil
BOLIVAR,2013,11,14,Mujer,37.0,Civil
CALDAS,2007,9,12,Mujer,30.0,Civil
ANTIOQUIA,1991,9,6,Hombre,28.0,Civil
CAUCA,1999,6,5,Mujer,8.0,Civil
CESAR,2001,8,20,Mujer,28.0,Civil
PUTUMAYO,2004,10,25,Mujer,25.0,Civil
CESAR,2004,5,10,Mujer,14.0,Civil
TOLIMA,1999,8,12,Mujer,13.0,Civil
CORDOBA,1995,1,1,Mujer,15.0,Civil
ANTIOQUIA,1993,4,1,Mujer,12.0,Civil
PUTUMAYO,2002,2,1,Mujer,9.0,Civil
SUCRE,1999,4,19,Mujer,24.0,Civil
NARINO,2003,11,15,Hombre,40.0,Civil
"BOGOTA, D.C.",1996,9,12,Mujer,18.0,Civil
META,1993,12,20,Mujer,15.0,Civil
PUTUMAYO,1993,6,9,Mujer,13.0,Civil
LA GUAJIRA,2014,3,3,Mujer,29.0,Civil
MAGDALENA,1997,5,26,Mujer,33.0,Civil
MAGDALENA,2007,11,6,Mujer,40.0,Civil
MAGDALENA,2003,7,17,Mujer,46.0,Civil
CAUCA,2011,4,17,Mujer,32.0,Civil
SANTANDER,1985,1,1,Mujer,6.0,Civil
CAUCA,2007,2,1,Mujer,36.0,Civil
ANTIOQUIA,1997,6,0,Mujer,14.0,Civil
PUTUMAYO,2015,5,16,Mujer,23.0,Civil
MAGDALENA,2002,7,1,Mujer,23.0,Civil
VALLE DEL CAUCA,2010,12,10,Mujer,19.0,Civil
ANTIOQUIA,2015,6,9,Mujer,22.0,Civil
VALLE DEL CAUCA,2014,11,15,Mujer,43.0,Civil
GUAVIARE,2007,9,15,Mujer,41.0,Civil
RISARALDA,2006,6,15,Mujer,31.0,Civil
NARINO,2007,5,3,Mujer,18.0,Civil
ANTIOQUIA,2001,7,14,Mujer,19.0,Civil
MAGDALENA,2004,4,14,Mujer,41.0,Civil
ANTIOQUIA,2002,6,15,Mujer,24.0,Civil
CALDAS,2000,11,15,Mujer,28.0,Civil
ANTIOQUIA,2010,9,4,Mujer,16.0,Civil
ANTIOQUIA,1996,5,12,Mujer,15.0,Civil
VALLE DEL CAUCA,2015,7,30,Mujer,35.0,Civil
TOLIMA,2004,8,15,Mujer,14.0,Civil
MAGDALENA,2002,10,15,Mujer,62.0,Civil
ANTIOQUIA,1993,6,30,Mujer,16.0,Civil
ANTIOQUIA,2006,12,4,Hombre,32.0,Civil
MAGDALENA,2003,11,1,Mujer,14.0,Civil
RISARALDA,2000,1,26,Mujer,11.0,Civil
NORTE DE SANTANDER,2002,11,16,Mujer,14.0,Civil
PUTUMAYO,2016,1,8,Mujer,33.0,Civil
CAUCA,2000,6,1,Mujer,14.0,Civil
CALDAS,2005,10,8,Mujer,12.0,Civil
CHOCO,2014,2,20,Mujer,28.0,Civil
ANTIOQUIA,2003,12,12,Mujer,20.0,Civil
CESAR,2004,1,1,Mujer,11.0,Civil
ATLANTICO,2006,5,12,Mujer,43.0,Civil
SIN INFORMACION,2011,5,20,Hombre,9.0,Civil
CESAR,2003,7,16,Mujer,23.0,Civil
NARINO,2005,6,1,Mujer,26.0,Civil
ANTIOQUIA,2002,1,15,Mujer,12.0,Civil
CASANARE,2001,4,29,Mujer,25.0,Civil
ANTIOQUIA,1999,10,3,Mujer,11.0,Civil
META,2003,12,12,Mujer,15.0,Civil
PUTUMAYO,2011,4,10,Mujer,36.0,Civil
BOLIVAR,2010,12,10,Mujer,14.0,Civil
NORTE DE SANTANDER,1999,5,1,Mujer,54.0,Civil
CORDOBA,2002,3,1,Mujer,16.0,Civil
RISARALDA,2012,1,12,Mujer,42.0,Civil
ANTIOQUIA,2004,5,14,Mujer,41.0,Civil
VALLE DEL CAUCA,2005,7,9,Mujer,45.0,Civil
PUTUMAYO,2003,2,3,Mujer,14.0,Civil
VALLE DEL CAUCA,1999,9,22,Hombre,14.0,Civil
CASANARE,1997,3,30,Mujer,17.0,Civil
TOLIMA,2011,10,17,Mujer,32.0,Civil
MAGDALENA,2005,1,30,Mujer,13.0,Civil
VALLE DEL CAUCA,2014,5,9,Mujer,21.0,Civil
ANTIOQUIA,2008,3,22,Mujer,16.0,Civil
MAGDALENA,2005,1,26,Mujer,15.0,Civil
LA GUAJIRA,2006,11,24,Mujer,20.0,Civil
CORDOBA,2004,7,4,Hombre,24.0,Civil
MAGDALENA,2004,7,24,Mujer,19.0,Civil
CAQUETA,2001,8,30,Mujer,30.0,Civil
ANTIOQUIA,2014,3,10,Mujer,32.0,Civil
CESAR,2012,10,8,Mujer,23.0,Civil
MAGDALENA,2004,8,8,Hombre,42.0,Civil
NARINO,2005,7,5,Mujer,31.0,Civil
CASANARE,2002,8,20,Mujer,18.0,Civil
META,1990,8,22,Mujer,11.0,Civil
CAQUETA,2000,11,26,Mujer,22.0,Civil
CUNDINAMARCA,2000,2,1,Mujer,49.0,Civil
META,2006,6,1,Mujer,12.0,Civil
TOLIMA,2010,1,5,Mujer,19.0,Civil
RISARALDA,2002,1,22,Mujer,11.0,Civil
CAUCA,2011,6,4,Mujer,23.0,Civil
LA GUAJIRA,2005,1,21,Mujer,10.0,Civil
ANTIOQUIA,2004,8,28,Mujer,36.0,Civil
META,2004,2,27,Mujer,30.0,Civil
CAUCA,2001,11,5,Mujer,17.0,Civil
BOYACA,1979,10,17,Hombre,24.0,Civil
CAUCA,2001,3,15,Mujer,34.0,Civil
ANTIOQUIA,1998,1,1,Mujer,17.0,Civil
ARAUCA,2005,6,1,Mujer,15.0,Civil
PUTUMAYO,2003,1,9,Mujer,7.0,Civil
META,2009,3,9,Mujer,13.0,Civil
ANTIOQUIA,2008,2,7,Mujer,24.0,Civil
CAQUETA,1999,1,15,Mujer,5.0,Civil
NARINO,2003,6,20,Mujer,24.0,Civil
CAUCA,1991,9,1,Hombre,9.0,Civil
ANTIOQUIA,2002,8,24,Mujer,15.0,Civil
MAGDALENA,2000,8,27,Mujer,20.0,Civil
TOLIMA,2001,1,1,Mujer,3.0,Civil
CESAR,2002,4,18,Mujer,18.0,Civil
VALLE DEL CAUCA,2014,4,19,Hombre,53.0,Civil
META,2004,3,25,Mujer,24.0,Civil
SIN INFORMACION,2000,6,15,Mujer,16.0,Civil
CAQUETA,2001,5,28,Mujer,11.0,Civil
CAQUETA,2001,8,20,Mujer,22.0,Civil
